repetitiveness_score,len,ppl
0.0,4,6.692620533700622
5.46448087431694,200,1.3490250905185335
8.21917808219178,160,1.402346009759603
16.666666666666664,9,3.5791570254161065
25.0,14,3.119621971505482
7.6923076923076925,59,1.2803410533660773
7.000000000000001,182,1.2764514968297658
6.25,27,2.7052812451194534
1.1235955056179776,200,1.0337388707381463
25.0,14,2.4956933465225832
25.0,14,3.015557426183383
10.0,44,1.3434558688542155
11.428571428571429,170,1.894142319981465
2.7777777777777777,200,1.14119689828701
5.063291139240507,200,1.5149475442060614
10.0,31,1.7586591306282071
0.0,4,3.780445471111213
4.444444444444445,200,1.401742094819745
22.22222222222222,14,2.5401654389448467
3.571428571428571,30,1.5028876199051693
4.411764705882353,94,1.0728447856520393
0.0,4,6.590086490975035
0.0,12,3.5206027924764114
5.263157894736842,66,1.2024724981553048
5.263157894736842,40,2.481284167363063
7.291666666666667,125,2.0172877631677832
5.0,22,2.9210583932778644
16.666666666666664,24,1.8115381885156485
0.0,22,1.7943361625752996
